obj_function,graph,AVERAGE of cpu_core_topdown_retiring_perc,STDEV of cpu_core_topdown_retiring_perc,AVERAGE of cpu_core_topdown_bad_spec_perc,STDEV of cpu_core_topdown_bad_spec_perc,AVERAGE of cpu_core_topdown_fe_bound_perc,STDEV of cpu_core_topdown_fe_bound_perc,AVERAGE of cpu_core_topdown_be_bound_perc,STDEV of cpu_core_topdown_be_bound_perc,COUNT of cpu_core_topdown_retiring_perc,AVERAGE of cpu_core_topdown_mem_bound_core_bound_perc,STDEV of cpu_core_topdown_mem_bound_core_bound_perc,AVERAGE of cpu_core_topdown_mem_bound_perc,STDEV of cpu_core_topdown_mem_bound_perc,,retiring_confidence_interval,badspec_confidence_interval,febound_confidence_interval,bebound_confidence_interval,core_bound_confidence_interval,mem_bound_confidence_interval
conductance,amazon,57.42,4.68,11.72,0.85,12.69,2.54,18.16,2.32,30,13.08,1.37,5.08,2.77,,1.75,0.32,0.95,0.87,0.51,1.03
conductance,citeseer,49.12,3.76,9.87,0.93,12.61,2.31,28.39,3.75,30,10.88,1.14,17.52,3.91,,1.40,0.35,0.86,1.40,0.42,1.46
conductance,dblp,38.81,2.64,27.90,1.68,15.89,1.71,17.40,2.59,30,11.52,1.10,5.87,2.41,,0.98,0.63,0.64,0.97,0.41,0.90
conductance,livejournal,39.11,2.10,28.05,1.97,14.08,1.13,18.76,2.49,30,11.52,0.93,7.23,2.84,,0.78,0.73,0.42,0.93,0.35,1.06
conductance,patents,50.94,3.68,13.99,1.09,11.63,1.35,23.45,3.09,30,14.97,1.37,8.51,3.27,,1.38,0.41,0.51,1.15,0.51,1.22
conductance,youtube,41.97,2.52,22.50,2.06,13.01,0.94,22.52,3.39,30,12.49,1.05,10.03,3.85,,0.94,0.77,0.35,1.27,0.39,1.44
degreeentropy,amazon,59.86,5.57,12.41,0.60,13.04,1.46,14.68,5.45,30,9.08,2.79,5.60,3.04,,2.08,0.22,0.54,2.03,1.04,1.14
degreeentropy,citeseer,55.18,6.69,11.98,0.54,13.99,1.95,18.83,8.27,30,10.62,3.89,8.22,4.69,,2.50,0.20,0.73,3.09,1.45,1.75
degreeentropy,dblp,49.25,5.49,21.67,1.38,15.21,2.16,13.87,4.47,30,8.26,1.49,5.62,3.34,,2.05,0.51,0.81,1.67,0.56,1.25
degreeentropy,livejournal,49.11,5.09,22.63,1.62,14.45,1.98,13.81,4.87,30,6.94,0.78,6.88,4.25,,1.90,0.61,0.74,1.82,0.29,1.59
degreeentropy,patents,61.01,4.15,11.80,0.49,13.73,1.23,13.45,3.22,30,8.01,1.15,5.46,2.60,,1.55,0.18,0.46,1.20,0.43,0.97
degreeentropy,youtube,55.57,3.78,15.70,1.06,14.12,0.92,14.61,4.05,30,7.22,0.76,7.40,3.60,,1.41,0.40,0.34,1.51,0.28,1.35
densesubgraph,amazon,27.77,3.20,23.83,1.33,18.95,1.41,29.46,5.72,30,7.30,0.81,22.15,4.96,,1.20,0.50,0.53,2.13,0.30,1.85
densesubgraph,citeseer,30.19,3.14,19.76,1.38,17.69,1.49,32.37,5.17,30,9.31,1.85,23.06,4.21,,1.17,0.51,0.56,1.93,0.69,1.57
densesubgraph,dblp,28.26,1.08,37.77,2.21,16.66,0.93,17.32,2.75,30,9.05,0.30,8.27,2.67,,0.40,0.83,0.35,1.03,0.11,1.00
densesubgraph,livejournal,28.87,1.13,37.59,3.56,15.12,1.21,18.42,3.32,30,8.84,0.50,9.58,3.13,,0.42,1.33,0.45,1.24,0.19,1.17
densesubgraph,patents,31.47,1.64,33.50,2.79,15.82,0.73,19.21,4.45,30,8.76,0.35,10.46,4.27,,0.61,1.04,0.27,1.66,0.13,1.59
densesubgraph,youtube,30.02,1.57,33.53,4.81,15.92,1.53,20.53,5.65,30,8.85,0.45,11.68,5.34,,0.59,1.80,0.57,2.11,0.17,1.99
labelentropy,citeseer,53.72,8.17,14.69,0.93,15.06,2.49,16.53,7.02,30,8.32,2.58,8.21,4.77,,3.05,0.35,0.93,2.62,0.96,1.78
labelentropy,patents,49.57,5.14,17.46,0.69,15.59,1.57,17.36,4.44,30,9.57,0.59,7.79,4.14,,1.92,0.26,0.59,1.66,0.22,1.54
labelentropy,youtube,53.39,3.35,11.52,0.53,15.70,1.03,19.38,4.17,30,9.50,0.77,9.87,3.72,,1.25,0.20,0.39,1.56,0.29,1.39
triangledensestsubgraph,amazon,42.70,3.37,24.72,2.46,22.06,2.51,10.50,3.56,30,5.37,0.64,5.14,3.01,,1.26,0.92,0.94,1.33,0.24,1.12
triangledensestsubgraph,citeseer,41.18,4.12,21.59,3.34,23.49,2.13,13.74,5.58,30,5.55,0.72,8.20,5.00,,1.54,1.25,0.80,2.08,0.27,1.87
triangledensestsubgraph,dblp,34.60,2.34,35.27,3.89,20.47,1.55,9.67,4.36,30,5.68,0.68,3.97,3.71,,0.87,1.45,0.58,1.63,0.26,1.38
triangledensestsubgraph,livejournal,24.53,1.55,45.34,4.22,19.61,1.12,10.52,2.76,30,6.42,0.18,4.09,2.64,,0.58,1.58,0.42,1.03,0.07,0.99
triangledensestsubgraph,patents,36.29,2.14,33.96,3.40,20.31,1.49,9.46,3.01,30,5.52,0.32,3.93,2.77,,0.80,1.27,0.56,1.12,0.12,1.03
triangledensestsubgraph,youtube,29.54,1.45,40.40,2.90,19.95,1.23,10.10,2.76,30,5.99,0.30,4.11,2.52,,0.54,1.08,0.46,1.03,0.11,0.94
