graph_name,objective_function,initial_solutions,AVERAGE of cost_best_solution,STDEV of cost_best_solution,COUNT of cost_best_solution,confidence_interval,confidence_interval_inferior,confidence_interval_superior
citeseer,conductance,10,0.9949783333,0.009129949434,15,0.004620307005,0.9903580263,0.9995986403
citeseer,conductance,100,0.9948217333,0.00601874914,15,0.003045851351,0.991775882,0.9978675847
citeseer,conductance,1000,1,0,15,0,1,1
citeseer,densesubgraph,10,4.816327,0,15,0,4.816327,4.816327
citeseer,densesubgraph,100,4.909091,0,15,0,4.909091,4.909091
citeseer,densesubgraph,1000,4.909091,0,15,0,4.909091,4.909091
citeseer,triangledensestsubgraph,10,15.7066666,3.947174861,15,1.997509383,13.70915722,17.70417598
citeseer,triangledensestsubgraph,100,23.333333,0,15,0,23.333333,23.333333
citeseer,triangledensestsubgraph,1000,23.333333,0,15,0,23.333333,23.333333
patents,conductance,10,0.6168522,0.03796270521,15,0.01921142653,0.01875127867,0.05717413174
patents,conductance,100,0.7582459333,0.02881314516,15,0.01458119537,0.01423194979,0.04339434053
patents,conductance,1000,0.8288624,0.008900391715,15,0.004504136906,0.00439625481,0.01340452862
patents,densesubgraph,10,21.85535107,3.938547103,15,1.993143215,1.945403888,5.931690318
patents,densesubgraph,100,26.42464407,0.4956344241,15,0.2508210169,0.2448134071,0.746455441
patents,densesubgraph,1000,36.2124868,5.284384962,15,2.674218629,2.610166333,7.958603592
patents,triangledensestsubgraph,10,55.67479787,25.56760242,15,12.93875431,12.62884811,38.50635673
patents,triangledensestsubgraph,100,104.7330629,41.50009488,15,21.00155981,20.49853507,62.50165468
patents,triangledensestsubgraph,1000,936.3597057,849.0219016,15,429.6564694,419.3654322,1278.678371
youtube,conductance,10,0.6504856667,0.08245359765,15,0.04172651093,0.04072708672,0.1241801086
youtube,conductance,100,0.968254,0,15,0,0,0
youtube,conductance,1000,0.972177,0,15,0,0,0
youtube,densesubgraph,10,14.44317893,0.1087836519,15,0.05505111199,0.05373253987,0.1638347639
youtube,densesubgraph,100,15.36823873,0.2667283459,15,0.1349806868,0.1317476591,0.4017090327
youtube,densesubgraph,1000,19.21967453,0.6273267201,15,0.3174652894,0.3098614307,0.9447920095
youtube,triangledensestsubgraph,10,186.375,0,15,0,0,0
youtube,triangledensestsubgraph,100,191.8303033,4.230386157,15,2.14083144,2.089554717,6.371217597
youtube,triangledensestsubgraph,1000,299.0380209,34.88117309,15,17.65198477,17.22918832,52.53315786
